sekolah_id,nama_sekolah
104b2758-013c-e111-b21e-dbe9eca67cbd,SD NEGERI LAMBUNU
709a4058-013c-e111-a8b8-3ba23875e144,SD NEGERI KADODA
a0acf857-013c-e111-b4f7-df06b1748b13,SD NEGERI 1 LAKUAN TOLITOLI
11c9f520-75a5-4835-83f2-adb40ceac5b6,SMAN 1 BUNGKU
e0c0a76b-ec13-4265-8456-e014aeabddfc,SMAN 1 BOLANO
6023ec5b-b2d5-e211-9235-474897eef020,SMP NEGERI 9 TOILI
2060f357-013c-e111-9d3f-915a590a19cf,SD NEGERI 1 KAMALU
73874346-622e-45b6-ac36-e8c24fd21277,MIS MUHAMMADIYAH
60ba6058-013c-e111-ac36-f5a6b4364d61,SD MUHAMADIYAH SONI
80034758-013c-e111-8be9-3df84d70dc75,SD NEGERI WATUSAMPU
20ecba58-013c-e111-93ac-2b53f342b858,SMP NEGERI 4 POSO
80696058-013c-e111-9f37-93715db6824c,SD GKLB LEMELU
40133757-013c-e111-9d4e-53eff1a73e62,SD NEGERI TOBUNGKU
78d60028-0702-4fd6-ba88-f227bc1a2037,SMPN 7 Balaesang Tanjung
008b3d57-013c-e111-92e3-ed5b06b414cf,SDN INPRES TUNGGALING
203cae57-013c-e111-9ee0-ed1487c1cf20,SD INPRES APPDT BATUI
e005b358-013c-e111-a8c1-b92499b43229,SMP NEGERI 8 SIGI
308c3958-013c-e111-a66d-973809119be4,SD NEGERI BANTUGA
80434058-013c-e111-af08-83aef9077b07,SD NEGERI OLILAN
5599cbc7-9bec-4f30-b5cc-08f2b1332145,SMAS KRISTEN GPID PALU
